paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1625,1625,Neuronal autoantibodies and clinical significance in stiff-person spectrum disorder,Kaneko J.; Iizuka T.; Kondo Y.; Abe Y.; Kaneko A.; Hattori K.; Kobayashi S.; Ugawa Y.; Sekiguchi K.; Maeda K.; Matsumoto Y.; Kanazawa N.; Kitamura E.; Dalmau J.; Nishiyama K.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1625.json,qa\trimming\reports\batch_011\text_trimmed\1625.json,qa\trimming\reports\batch_011\text_trimmed\1625.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.9820,1.0000,0.9865,5,2819,false,false,true,exact_footer_filtered_subsequence,true,soft_header::author+section+wrapped_title,no_header_found,0,"Neuronal Autoantibodies and Clinical Significance in Stiff-Person Spectrum Disorder (P1.7-002) Juntaro Kaneko, Takahiro Iizuka, Yuko Kondo, Yuki Abe, Atsushi Kaneko, Kasumi Hattori, Shunsuke Kobayashi, Yoshikazu Ugawa, Kenji Sekiguchi, Kengo Maeda, Yushi Matsumoto, Naomi Kanazawa, Eiji Kitamura, Josep Dalmau, Kazutoshi Nishiyama First published April 16, 2019, Abstract Objective: To report the clinical features of stiff-person spectrum disorder (SPSD). Background: SPSD is a collective term encom",Trimmed proceedings text matches and appears complete.,2026-04-11T13:18:53.449928+00:00
1932,1932,An international survey of stiff person spectrum disorders: Exploring the clinical spectrum and unmet needs,Balint B.; Gatto E.; Etcheverry J.; Cesarini M.; Virginia Parisi V.; Rodriguez Violante M.; Garcia Ruiz P.; Bhatia K.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1932.json,qa\trimming\reports\batch_011\text_trimmed\1932.json,qa\trimming\reports\batch_011\text_trimmed\1932.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,partial_truncated,true,0,1.0000,1.0000,1.0000,5,3152,false,false,true,exact_footer_filtered_subsequence,false,,next_soft_header,0,"7/2/23, 9:19 AM An international survey of stiff person spectrum disorders: Exploring the clinical spectrum and unmet needs - MDS Abstracts https://www.mdsabstracts.org/abstract/an-international-survey-of-stiff-person-spectrum-disorders-exploring-the-clinical-spectrum-and-unmet-needs/ 1/2 Date: Saturday, October 6, 2018 Session Title: Rare Genetic and Metabolic Diseases Session Time: 1:45pm-3:15pm Location: Hall 3FG An international survey of stiff person spectrum disorders: Exploring the clinic",Trim does not start at a detected proceedings header.,2026-04-11T13:18:53.603608+00:00
1947,1947,AN INTERESTING PRESENTATION OF STIFF-PERSON SYNDROME,Lezama K.; Hudey S.; Glaum M.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1947.json,qa\trimming\reports\batch_011\text_trimmed\1947.json,qa\trimming\reports\batch_011\text_trimmed\1947.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,3,1649,false,false,true,exact_footer_filtered_subsequence,true,coded_boundary,next_abstract_boundary,0,"M171 AN INTERESTING PRESENTATION OF STIFF-PERSON SYNDROME K. Lezama*, S. Hudey, M. Glaum, Tampa, FL. Introduction: Stiff-person syndrome (SPS) is a very rare neuro- muscular autoimmune disorder characterized by rigidity, stiffness and weakness in axial or proximal limb muscles. SPS presenting with angioedema and urticarial rash is described. Case Description: A 48-year-old male with comorbidities including hypothyroidism, Sjogren’s syndrome, type 2 diabetes, hypertension, and chronic kidney dise",Trimmed proceedings text matches and appears complete.,2026-04-11T13:18:53.690130+00:00
3125,3125,Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report.,"Shah, Chirag D; Bunzol, Daniel",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\3125.json,qa\trimming\reports\batch_011\text_trimmed\3125.json,qa\trimming\reports\batch_011\text_trimmed\3125.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,5,2318,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report Chirag D. Shah, MD, JD (Rush University Medical Center, Chicago, Illinois, United States), Daniel Bunzol, MD Disclosures: Chirag Shah: I Have No Relevant Financial Relationships To Disclose Case/Program Description: Patient is a 53-year-old man with waxing and waning symptoms of low back pain and leg cramps. Patient noted localized and symmetric stiffness in his quadriceps, hamstrings, and a",Trimmed proceedings text matches and appears complete.,2026-04-11T13:18:53.817138+00:00
5029,5029,Anti-Amphiphysin Positive Partial Stiff Person Syndrome in an Elderly Woman with a Breast Mass,"Abu El-Haija, H.; Gogia, B.; Shanina, E.; He, J.; Fang, X.; Li, X. P.",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\5029.json,qa\trimming\reports\batch_011\text_trimmed\5029.json,qa\trimming\reports\batch_011\text_trimmed\5029.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,55,0.9927,1.0000,0.9945,3,2110,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"419. Anti-Amphiphysin Positive Partial Stiff Person Syndrome in an Elderly Woman with a Breast Mass Hibatullah Abu El-Haija, MD , Bhanu Gogia, MD, Elena Shanina, MD, Jing He, MD, Xiang Fang, MD, PhD, FAAN, FANA, Xiangping Li, MD, MPA. UTMB, Galveston, TX, USA. Background: Stiff-person syndrome (SPS) is a rare autoim- mune disorder characterized by progressive muscle stiffness and painful muscle spasms, classically associated with anti- glutamic acid decarboxylase (GAD). Here we present an unusua",Trimmed proceedings text matches and appears complete.,2026-04-11T13:19:11.789372+00:00
5079,5079,Stiff-person syndrome positive for anti-amphyphisin antibodies: The presenting feature of a neuroendocrine lung cancer,"Andrade, K.; Carvalho, L.; Martins, A.; Barros, J.",conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\5079.json,qa\trimming\reports\batch_011\text_trimmed\5079.json,qa\trimming\reports\batch_011\text_trimmed\5079.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,106,1.0000,1.0000,1.0000,2,1283,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P1444 Stiff-person syndrome positive for anti-amphyphisin antibodies: The presenting feature of a neuroendocrine lung cancer K. Andrade 1, L. Carvalho 2, A. Martins 2 and J. Barros 1 1Department of Neurology; and 2Department Internal Medicine, Hospital Geral de Santo Antonio, Porto, Portugal Background: Stiﬀ-person syndrome (SPS) is a rare disease of the central nervous system, characterized by progressive rigidity of the body musculature with superimposed painful spasms. An autoimmune origin of",Trimmed proceedings text matches and appears complete.,2026-04-11T13:19:30.435099+00:00
5087,5087,A CASE REPORT OF ATYPICAL STIFF PERSON SYNDROME WITH CRANIAL NERVE INVOLVEMENT PRECEEDING THE DIAGNOSIS OF A HIGH GRADE LYMPHOMA,"Aquilina, N.; Vella, M.; Debono, A. G.; Camilleri, D. J.",conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\5087.json,qa\trimming\reports\batch_011\text_trimmed\5087.json,qa\trimming\reports\batch_011\text_trimmed\5087.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,262,0.9547,1.0000,0.9661,0,1867,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P2725 A CASE REPORT OF ATYPICAL STIFF PERSON SYNDROME WITH CRANIAL NERVE INVOLVEMENT PRECEEDING THE DIAGNOSIS OF A HIGH GRADE LYMPHOMA N. Aquilina 1, M. Vella 1, A. Galea Debono 1, D.J. Camilleri 2 1 Department of Neurology, 2 Department of Haematology, Mater Dei Hospital, Msida, Malta Stiff person syndrome (SPS) is characterised by progressive muscle rigidity and spasms primarily affecting the axial musculature and lower limbs. Paraneoplastic SPS has also been recognised, mainly associated with",Trimmed proceedings text matches and appears complete.,2026-04-11T13:19:43.692428+00:00
5158,5158,A case of Type 1 diabetes with stiff person syndrome and coeliac disease,"Behan, L. A.; O'Sullivan, E. P.; King, T. J. F.; Hardiman, O.; Agha, A.; Thompson, C. J.; Smith, D.",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\5158.json,qa\trimming\reports\batch_011\text_trimmed\5158.json,qa\trimming\reports\batch_011\text_trimmed\5158.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,7,1.0000,0.8571,0.9643,3,1522,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"A26 A case of Type 1 diabetes with stiff person syndrome and coeliac disease LA Behan /C3, EP O’Sullivan /C3, TJF King /C3, O Hardiman w, A Agha /C3, CJ Thompson /C3and D Smith /C3 /C3Department of Diabetes and Endocrinology, Beaumont Hospital, Royal College of Surgeons of Ireland, Dublin, Ireland, wDepartment of Neurology, Beaumont Hospital, Royal College of Surgeons of Ireland, Dublin, Ireland Background: Type 1 diabetes is associated with a variety of autoimmune conditions, including both coe",Trimmed proceedings text matches and appears complete.,2026-04-11T13:19:45.842843+00:00
5212,5212,STIFF-MAN SYNDROME WITH GAD-LIKE IMMUNOREACTIVITY - RESPONSE OF A PATIENT TO PLASMAPHERESIS AND IMMUNOSUPPRESSION,"Brashear, H. R.; Phillips, L. H.",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\5212.json,qa\trimming\reports\batch_011\text_trimmed\5212.json,qa\trimming\reports\batch_011\text_trimmed\5212.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,partial_truncated,true,0,1.0000,1.0000,1.0000,5,1326,false,false,true,trim_record_indices,false,,next_abstract_boundary,0,"24 7P Stiff-Man Syndrome with GAD-Like Immunoreactivity: Response of a Patient to Plasmapheresis and Immunosuppression H.R. Brashear and Lawrence H. Phillips 11, Charlottesville, VA Objective. To study immunological, clinical and electrophysio- logical responses to treatment of stiff-man syndrome. Background. Some patients with a diagnosis of stiff-man syn- drome have circulating autoantibodies with GAD-like immunoreactivity (GAD-LIR). We report our second patient with stiff-man syndrome, high t",Trim does not start at a detected proceedings header.,2026-04-11T13:19:45.988237+00:00
5233,5233,Familial stiff-man syndrome with GAD65 antibody,"Burns, T. M.; Jones, H. R.; Phillips, L. H.; Lennon, V. A.",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\5233.json,qa\trimming\reports\batch_011\text_trimmed\5233.json,qa\trimming\reports\batch_011\text_trimmed\5233.json,trimmed_text,true,header_only_source,Matched entry appears to contain header-only listing without abstract body.,header_only_source,true,1,0.9857,1.0000,0.9893,0,0,true,false,true,trim_record_indices,true,coded_boundary,next_soft_header,0,"160. Familial Stiff-Man Syndrome With GAD65 Antibody Ted M. Burns, H. Royden Jones, Lawrence H. Phillips II, and Vanda A. Lennon; Burlington, MA, Charlottesville, VA, and Rochester, MN",Matched source appears to be a title/author listing without abstract body text.,2026-04-11T13:19:46.309282+00:00
