paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1899,1899,Stiff-person syndrome and type 1 diabetes mellitus: Report of a family,Faro F.N.; Bussular T.C.; Feder C.K.R.; Salles J.E.N.; Scalissi N.M.; Pereira M.V.,conference_abstract,family_case_conference_abstract,manual_review,data\extraction_json\text\1899.json,qa\trimming\reports\batch_010\text_trimmed\1899.json,qa\trimming\reports\batch_010\text_trimmed\1899.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,175,0.8349,0.1667,0.6679,3,2627,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"A394 Stiff‑person syndrome and type 1 diabetes mellitus: report of a family Fernanda Nascimento Faro, Tássia Cani Bussular, Cecilia Kauffman Rutenberg Feder, João Eduardo Nunes Salles, Nilza Maria Scalissi, Mariana Vilela Pereira Irmandade da Santa Casa de Misericórdia de São Paulo; São Paulo, Brazil Correspondence: Fernanda Nascimento Faro Journal of Diabetology & Metabolic Syndrome 2018, 10(Supp 1):A394 Case report: A 49-year-old woman presented unable to walk after a 6-month history of progre",Trimmed proceedings text matches and appears complete.,2026-04-10T22:07:59.750307+00:00
1900,1900,Stiff person syndrome exacerbations & therapeutic plasma exchange,Stiefel E.; Leeper J.; Alquist C.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1900.json,qa\trimming\reports\batch_010\text_trimmed\1900.json,qa\trimming\reports\batch_010\text_trimmed\1900.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,39,0.9919,1.0000,0.9939,5,2877,false,false,true,trim_record_indices,true,soft_header::author+section+wrapped_title+uppercase_title,next_soft_header,0,"52 | STIFF PERSON SYNDROME EXACERBATIONS & THERAPEUTIC PLASMA EXCHANGE Elijah Stiefel, MD, MS, 1 James Leeper, PhD 2 and Caroline Alquist, MD, PhD 3 1LSU New Orleans, 2University of Alabama, 3Ochsner Health System Purpose Stiff-person syndrome (SPS) is a rare chronic disorder characterized by painful recurrent involuntary mus- cle rigidity and spasms, with an estimated prevalence of 1 –2 cases per million. Given an underlying autoimmune compo- nent is associated with these symptoms, SPS carries ",Trimmed proceedings text matches and appears complete.,2026-04-10T22:22:08.112014+00:00
1901,1901,Iatrogenic hypoglobulinemia due to the therapeutic plasma exchange: Managing the patient with allergies to blood products,Linnik Y.A.; Moiseff R.; Thomasson R.; Szczepiorkowski Z.; Dunbar N.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1901.json,qa\trimming\reports\batch_010\text_trimmed\1901.json,qa\trimming\reports\batch_010\text_trimmed\1901.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,58,0.9230,1.0000,0.9422,4,3118,false,false,true,trim_record_indices,true,soft_header::author+uppercase_title,next_abstract_boundary,0,"75 | IATROGENIC HYPOGLOBULINEMIA DUE TO THE THERAPEUTIC PLASMA EXCHANGE: MANAGING THE PATIENT WITH ALLERGIES TO BLOOD PRODUCTS Yevgeniy A. Linnik, MD, Robin Moiseff, MD, Reggie Thomasson, MD, Zbigniew Szczepiorkowski, MD, PhD and Nancy Dunbar, MD Dartmouth-Hitchcock Medical Center Purpose To provide a personalized approach for sympto- matic patients with therapeutic plasma exchange-induced hypogammaglobulinema and documented (mild, moderate, severe) allergic reactions to fresh frozen plasma (FFP",Trimmed proceedings text matches and appears complete.,2026-04-10T22:08:19.448878+00:00
1903,1903,Stiff person's syndrome: Challenging symptom control,Thakolkaran N.T.; Kaur R.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1903.json,qa\trimming\reports\batch_010\text_trimmed\1903.json,qa\trimming\reports\batch_010\text_trimmed\1903.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,182,0.8882,1.0000,0.9162,4,2329,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"C31 Stiff Person’s Syndrome: Challenging symptom control N. T. Thakolkaran, R. Kaur. Geriatrics and Palliative Division, Rush University Medical Center, Oak Park, IL. Background: Stiff-person syndrome (SPS) is characterized by progressive rigidity and muscle spasms affecting axial and limb muscles. Prevalence is 1-2 per million, most patients between 20-50 years, affects women 2-3 times more. The subtypes are Classic, Partial and paraneoplastic SPS. SPS is frequently associated with anti-Glu - t",Trimmed proceedings text matches and appears complete.,2026-04-10T22:09:40.246092+00:00
1916,1916,A rare cause of progressive encephalopathy - PERM,Hartigan S.; Turner R.; Hastings J.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1916.json,qa\trimming\reports\batch_010\text_trimmed\1916.json,qa\trimming\reports\batch_010\text_trimmed\1916.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,69,1.0000,1.0000,1.0000,3,2498,false,false,true,trim_record_indices,true,soft_header::author+institution+section+wrapped_title,next_soft_header,0,"A Rare Cause Of Progressive Encephalopathy - PERM Hartigan S, Turner R , Hastings J Dept. of Anaesthesia and Intensive Care Medicine, Mater Misericordiae University Hospital (MMUH), Dublin UCD Intern Network Introduction: Glycine receptor antibody positive progressive encephalop- athy with rigidity and myoclonus (PERM) or‘ stiff person syndrome’ is a recently described, rare phenomenon. First documented in 2008 by Hutchinson et al 2, it is characterised by rigidity, muscle spasms, hyperekplexia ",Trimmed proceedings text matches and appears complete.,2026-04-10T22:10:19.745098+00:00
1918,1918,Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome,Tsai C.-H.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1918.json,qa\trimming\reports\batch_010\text_trimmed\1918.json,qa\trimming\reports\batch_010\text_trimmed\1918.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.9362,0.0000,0.7021,4,2215,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,F59. Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome—Chon-Haw Tsai (Taiwan) Introduction: Stiff person syndrome (SPS) is a rare disease entity and the pivotal clinical features contain progressive course of fluctuating stiffness of the low back and lower limbs. Progressive encephalomyelitis with rigidity and myoclonus (PERM) is one of,Trimmed proceedings text matches and appears complete.,2026-04-10T22:10:20.598105+00:00
1921,1921,Refractory anti-gad positive stiff-person syndrome controlled after rituximab therapy,Aragao V.; Braga E.; Marinho A.R.; Nobrega P.; Simabukuro M.; Ferreira G.; Maia F.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1921.json,qa\trimming\reports\batch_010\text_trimmed\1921.json,qa\trimming\reports\batch_010\text_trimmed\1921.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,67,1.0000,0.8571,0.9643,5,2633,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"171 Withdrawn by author 172 Refractory Anti-GAD Positive Stiff-person Syndrome Controlled after Rituximab Therapy Veronica Aragao, Eduardo Braga, Antonia Rosivalda Marinho, Paulo N/C19obrega, Mateus Simabukuro, Glauber Ferreira, Fernanda Maia (Fortaleza, Brazil) Objective: To describe a case of refractory Stiff Person Syndrome that had an excellent response to Rituximab therapy. Background: Stiff person syndrome is unusual autoimmune move- ment disorder. Anti-GAD antibody is very frequent and pa",Trimmed proceedings text matches and appears complete.,2026-04-11T06:27:08.760186+00:00
1922,1922,Stiff person syndrome presenting with spastic dysarthria,Persaud A.; Shneyder N.; Pulley M.; Giles S.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1922.json,qa\trimming\reports\batch_010\text_trimmed\1922.json,qa\trimming\reports\batch_010\text_trimmed\1922.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,45,1.0000,1.0000,1.0000,5,1517,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"116 Stiff Person Syndrome Presenting with Spastic Dysarthria Amanda Persaud, Natalya Shneyder, Michael Pulley, Samuel Giles (Jacksonville, FL, USA) Objective: The purpose of this study is to discern whether there are reports that SPS has presented with stroke like symptoms. Background: Stiff person syndrome (SPS) is due to neuronal hyper- excitability from antibodies to glutamic acid decarboxylase (GAD), decreasing GABA production in the central nervous system (CNS). This decrease in CNS inhibit",Trimmed proceedings text matches and appears complete.,2026-04-11T06:27:22.645706+00:00
1923,1923,Intrathecal baclofen effects in stiff person syndrome: Clinical and instrumented gait analysis,Rocha M.S.; Terzian P.R.; Ferreira R.; Majdoub A.A.; Barbosa J.; Godinho F.,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text\1923.json,qa\trimming\reports\batch_010\text_trimmed\1923.json,qa\trimming\reports\batch_010\text_trimmed\1923.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,45,1.0000,0.6667,0.9167,5,2230,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"117 Intrathecal Baclofen Effects in Stiff Person Syndrome: Clinical and Instrumented Gait Analysis Maria Sheila Rocha, Paulo Roberto Terzian, Rodrigo Ferreira, Ahmad Ali Majdoub, Jamana Barbosa, Fabio Godinho (Sao Paulo, Brazil) Objective: To describe the effects of intrathecal baclofen (ITB) on clinical, balance and gait parameters of two Stiff Person’s patients. Background: Stiff person syndrome (SPS) is a rare progressive dis- order characterized by severe axial and/or limb rigidity, spasms, ",Trimmed proceedings text matches and appears complete.,2026-04-10T22:12:22.326586+00:00
1924,1924,Status dystonicus in a young person as an unusual presentation of stiff person syndrome: A case report,Di Luca D.G.; Bette S.; Luca C.; Singer C.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1924.json,qa\trimming\reports\batch_010\text_trimmed\1924.json,qa\trimming\reports\batch_010\text_trimmed\1924.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,58,1.0000,0.7500,0.9375,5,2243,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"148 Status Dystonicus in a Young Person as an Unusual Presentation of Stiff Person Syndrome: A Case Report Daniel Garbin Di Luca, Sagari Bette, Corneliu Luca, Carlos Singer (Miami Beach, FL, USA) Objective: To describe an unusual presentation of stiff person syn- drome (SPS) in a young patient admitted to our hospital in status dystonicus. Background: SPS is a rare autoimmune syndrome characterized by progressive, ﬂuctuating isometric muscle contractions that are forceful and painful. Patients m",Trimmed proceedings text matches and appears complete.,2026-04-11T06:27:36.874282+00:00
1947,1947,AN INTERESTING PRESENTATION OF STIFF-PERSON SYNDROME,Lezama K.; Hudey S.; Glaum M.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1947.json,qa\trimming\reports\batch_010\text_trimmed\1947.json,qa\trimming\reports\batch_010\text_trimmed\1947.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,2,717,false,false,true,exact_footer_filtered_subsequence,true,coded_boundary,next_abstract_boundary,0,"M171 AN INTERESTING PRESENTATION OF STIFF-PERSON SYNDROME K. Lezama*, S. Hudey, M. Glaum, Tampa, FL. Introduction: Stiff-person syndrome (SPS) is a very rare neuro- muscular autoimmune disorder characterized by rigidity, stiffness and weakness in axial or proximal limb muscles. SPS presenting with angioedema and urticarial rash is described. Case Description: A 48-year-old male with comorbidities including hypothyroidism, Sjogren’s syndrome, type 2 diabetes, hypertension, and chronic kidney dise",Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:05.919540+00:00
3125,3125,Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report.,"Shah, Chirag D; Bunzol, Daniel",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\3125.json,qa\trimming\reports\batch_010\text_trimmed\3125.json,qa\trimming\reports\batch_010\text_trimmed\3125.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,5,2318,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report Chirag D. Shah, MD, JD (Rush University Medical Center, Chicago, Illinois, United States), Daniel Bunzol, MD Disclosures: Chirag Shah: I Have No Relevant Financial Relationships To Disclose Case/Program Description: Patient is a 53-year-old man with waxing and waning symptoms of low back pain and leg cramps. Patient noted localized and symmetric stiffness in his quadriceps, hamstrings, and a",Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:06.287260+00:00
5029,5029,Anti-Amphiphysin Positive Partial Stiff Person Syndrome in an Elderly Woman with a Breast Mass,"Abu El-Haija, H.; Gogia, B.; Shanina, E.; He, J.; Fang, X.; Li, X. P.",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\5029.json,qa\trimming\reports\batch_010\text_trimmed\5029.json,qa\trimming\reports\batch_010\text_trimmed\5029.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,55,0.9927,1.0000,0.9945,3,2015,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"419. Anti-Amphiphysin Positive Partial Stiff Person Syndrome in an Elderly Woman with a Breast Mass Hibatullah Abu El-Haija, MD , Bhanu Gogia, MD, Elena Shanina, MD, Jing He, MD, Xiang Fang, MD, PhD, FAAN, FANA, Xiangping Li, MD, MPA. UTMB, Galveston, TX, USA. Background: Stiff-person syndrome (SPS) is a rare autoim- mune disorder characterized by progressive muscle stiffness and painful muscle spasms, classically associated with anti- glutamic acid decarboxylase (GAD). Here we present an unusua",Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:21.373474+00:00
5079,5079,Stiff-person syndrome positive for anti-amphyphisin antibodies: The presenting feature of a neuroendocrine lung cancer,"Andrade, K.; Carvalho, L.; Martins, A.; Barros, J.",conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\5079.json,qa\trimming\reports\batch_010\text_trimmed\5079.json,qa\trimming\reports\batch_010\text_trimmed\5079.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,106,1.0000,1.0000,1.0000,2,1283,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P1444 Stiff-person syndrome positive for anti-amphyphisin antibodies: The presenting feature of a neuroendocrine lung cancer K. Andrade 1, L. Carvalho 2, A. Martins 2 and J. Barros 1 1Department of Neurology; and 2Department Internal Medicine, Hospital Geral de Santo Antonio, Porto, Portugal Background: Stiﬀ-person syndrome (SPS) is a rare disease of the central nervous system, characterized by progressive rigidity of the body musculature with superimposed painful spasms. An autoimmune origin of",Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:36.748451+00:00
5087,5087,A CASE REPORT OF ATYPICAL STIFF PERSON SYNDROME WITH CRANIAL NERVE INVOLVEMENT PRECEEDING THE DIAGNOSIS OF A HIGH GRADE LYMPHOMA,"Aquilina, N.; Vella, M.; Debono, A. G.; Camilleri, D. J.",conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\5087.json,qa\trimming\reports\batch_010\text_trimmed\5087.json,qa\trimming\reports\batch_010\text_trimmed\5087.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,262,0.9547,1.0000,0.9661,0,1867,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P2725 A CASE REPORT OF ATYPICAL STIFF PERSON SYNDROME WITH CRANIAL NERVE INVOLVEMENT PRECEEDING THE DIAGNOSIS OF A HIGH GRADE LYMPHOMA N. Aquilina 1, M. Vella 1, A. Galea Debono 1, D.J. Camilleri 2 1 Department of Neurology, 2 Department of Haematology, Mater Dei Hospital, Msida, Malta Stiff person syndrome (SPS) is characterised by progressive muscle rigidity and spasms primarily affecting the axial musculature and lower limbs. Paraneoplastic SPS has also been recognised, mainly associated with",Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:48.009451+00:00
