batch_id,paper_id,title,extraction_correct,corrected_start_text,corrected_end_text,reviewer_comments,reviewed_correct,corrected_successfully,review_status,reviewer_id,reviewed_at_utc,updated_at_utc
batch_010,1899,Stiff-person syndrome and type 1 diabetes mellitus: Report of a family,false,,"... Conclusion: SPS is a very rare disease without well established pathogenesis and debilitating nature if not recognized in time. Association with T1DM, anti-GAD antibodies and other autoimmune disorders could contribute to clinical suspicion and earlier diagnosis.",cut-off too soon,false,true,reviewed,human_reviewer,2026-04-10T21:03:28.542500+00:00,2026-04-10T21:03:28.542515+00:00
batch_010,1900,Stiff person syndrome exacerbations & therapeutic plasma exchange,false,,We hope by contributing this information to the medical literature we can aid others in their treatment of this rare disease.,cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T21:04:30.468003+00:00,2026-04-10T21:04:30.468026+00:00
batch_010,1901,Iatrogenic hypoglobulinemia due to the therapeutic plasma exchange: Managing the patient with allergies to blood products,false,,... exchange (e.g. Guillain- Barre syndrome) when allergic reactions limit the volume of FFP one can use as replacement fluid.,,false,true,reviewed,human_reviewer,2026-04-10T21:05:29.150616+00:00,2026-04-10T21:05:29.150639+00:00
batch_010,1903,Stiff person's syndrome: Challenging symptom control,false,,... Conclusion: This case illustrates that symptom management in SPS can be challenging to create a balance between symptom control and avoiding side effects. Psychological aspects of the care should also be taken into consideration.,cut off too early,false,true,reviewed,human_reviewer,2026-04-10T21:06:59.108766+00:00,2026-04-10T21:06:59.108781+00:00
batch_010,1916,A rare cause of progressive encephalopathy - PERM,false,,"... Some institutions routinely screen CSF samples for autoantibodies and have higher detection rates, an argument could be made for this to become normal practice globally. References: 2Progressive encephalomyelitis, rigidity, and myoclonus: a novel glycine receptor antibody. (Hutchinson et al, 2008) 3Glycine receptor antibodies are detected in progressive encephalomyelitis with rigidity and myoclonus (PERM) but not in saccadic oscillations. (Vincent et al, 2011)",cut off too early,false,true,reviewed,human_reviewer,2026-04-10T21:08:03.317022+00:00,2026-04-10T21:08:03.317035+00:00
batch_010,1918,Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome,false,,... These neurophysiological features discern spasmodic reflex myoclonus from hyperekplexia and are helpful in making diagnosis of SPS.,cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T21:09:05.823657+00:00,2026-04-10T21:09:05.823670+00:00
batch_010,1921,Refractory anti-gad positive stiff-person syndrome controlled after rituximab therapy,false,,"... Rituximab may be an option to be considered once patients show a poor response to the first imunossupressive treatment. References: 1. Dalakas MC, Rakocevic G, Dambrosia JM, Alexopoulos H, McElroy DB. A double blind, placebo-controlled study of rituximab in patients with stiff person syndrome. Ann Neurol. 2017 Aug;82(2):271-277. ‘Accepted Article’. 2. McKeon A, Robinson MT, McEvoy KM, Matsumoto JY, Lennon VA, Ahlskog JE, Pittock SJ. Stiffman syndrome and variants: clinical course, treatments, and outcomes. Arch Neurol. 2012 Feb;69(2):230-8.",cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T21:10:46.002290+00:00,2026-04-10T21:10:46.002317+00:00
batch_010,1922,Stiff person syndrome presenting with spastic dysarthria,false,,"Conclusions: In conclusion, SPS can present with acute dysarthria mimicking stroke, and has not been reported before. Thus, evaluation for acute stroke is appropriate in these cases, and careful history may reveal more chronic symptoms leading to a very different diagnosis and treatment. References: Arino H, Hoftberger R, Gresa-Arribas N, et al. Paraneoplastic Neurological Syndrome and Glutamic Acid Decarboxylase Antibodies. JAMA Neurol 2015; 72:874. Raju R, Rakocevic G, Chen Z, et al. Autoimmuniry to GABAA-receptor-associated protein in stiffperson syndrome. Brain 2006; 129:3270.",cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T21:11:59.829934+00:00,2026-04-10T21:11:59.829955+00:00
batch_010,1923,Intrathecal baclofen effects in stiff person syndrome: Clinical and instrumented gait analysis,false,,"Conclusions: intrathecal baclofen promoted a clinical significant improvement in spasticity, as well as in balance and gait parameters. ITB pump implantation should be considered as a symptomatic therapy for those patients with refractory SPS.",truncated too soon,false,true,reviewed,human_reviewer,2026-04-10T21:13:45.307602+00:00,2026-04-10T21:13:45.307621+00:00
batch_010,1924,Status dystonicus in a young person as an unusual presentation of stiff person syndrome: A case report,false,,"Conclusions: Our case provides an unusual description of SPS presenting as status dystonicus in a patient with severe muscle rigidity and spasms. We provide a photograph and can provide a video demonstration of the involuntary movements, which we hope will aid other practitioners in the early recognition and treatment of this condition. We also demonstrate that IVIg may improve the clinical course of this syndrome. References: 1) Fahn S, Jancovic J, Hallett M, editors. Principles and Practice of Movement Disorders. 2nd ed. New York: Elsevier Saunders; 2011.2) JK Baizabal-Carvallo, J Jankovic. Stiff-person syndrome: insights into a complex autoimmune disorder. J Neurol Neurosurg Psychiatry. 2015 Aug;86(8):840-8.",cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T21:15:09.250813+00:00,2026-04-10T21:15:13.799728+00:00
