batch_id,paper_id,title,authors,resolved_source_subtype,resolved_source_route_source,workflow_stage,pdf_filename,pdf_path_relative,source_text_json_path,trimmed_text_json_path,preferred_start_page,best_match_page_index,trim_status,qc_status,manual_follow_up_required,match_score,title_score,author_score,combined_score,trim_reason,qc_note,selection_created_at_utc
batch_010,1899,Stiff-person syndrome and type 1 diabetes mellitus: Report of a family,Faro F.N.; Bussular T.C.; Feder C.K.R.; Salles J.E.N.; Scalissi N.M.; Pereira M.V.,family_case_conference_abstract,manual_review,stage05_trimming,1899_Faro F.N. et al. - 2018 - Stiff-person syndrome and type 1 diabetes mellitus.pdf,data\pdf_original\1899_Faro F.N. et al. - 2018 - Stiff-person syndrome and type 1 diabetes mellitus.pdf,data\extraction_json\text\1899.json,qa\trimming\reports\batch_010\text_trimmed\1899.json,176,175,trimmed_auto,confirmed_full,false,0.6170,0.8349,0.1667,0.6679,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1900,Stiff person syndrome exacerbations & therapeutic plasma exchange,Stiefel E.; Leeper J.; Alquist C.,group_conference_abstract,manual_review,stage05_trimming,1900_Stiefel E. et al. - 2018 - Stiff person syndrome exacerbations & therapeutic .pdf,data\pdf_original\1900_Stiefel E. et al. - 2018 - Stiff person syndrome exacerbations & therapeutic .pdf,data\extraction_json\text\1900.json,qa\trimming\reports\batch_010\text_trimmed\1900.json,40,39,trimmed_auto,confirmed_full,false,1.0000,0.9919,1.0000,0.9939,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1901,Iatrogenic hypoglobulinemia due to the therapeutic plasma exchange: Managing the patient with allergies to blood products,Linnik Y.A.; Moiseff R.; Thomasson R.; Szczepiorkowski Z.; Dunbar N.,single_case_conference_abstract,manual_review,stage05_trimming,1901_Linnik Y.A. et al. - 2018 - Iatrogenic hypoglobulinemia due to the therapeutic.pdf,data\pdf_original\1901_Linnik Y.A. et al. - 2018 - Iatrogenic hypoglobulinemia due to the therapeutic.pdf,data\extraction_json\text\1901.json,qa\trimming\reports\batch_010\text_trimmed\1901.json,59,58,trimmed_auto,confirmed_full,false,0.8485,0.9230,1.0000,0.9422,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1903,Stiff person's syndrome: Challenging symptom control,Thakolkaran N.T.; Kaur R.,single_case_conference_abstract,manual_review,stage05_trimming,1903_Thakolkaran N.T. and Kaur R. - 2018 - Stiff person's syndrome Challenging symptom contr.pdf,data\pdf_original\1903_Thakolkaran N.T. and Kaur R. - 2018 - Stiff person's syndrome Challenging symptom contr.pdf,data\extraction_json\text\1903.json,qa\trimming\reports\batch_010\text_trimmed\1903.json,183,182,trimmed_auto,confirmed_full,false,0.9062,0.8882,1.0000,0.9162,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1916,A rare cause of progressive encephalopathy - PERM,Hartigan S.; Turner R.; Hastings J.,single_case_conference_abstract,manual_review,stage05_trimming,1916_Hartigan S. et al. - 2018 - A rare cause of progressive encephalopathy - PERM.pdf,data\pdf_original\1916_Hartigan S. et al. - 2018 - A rare cause of progressive encephalopathy - PERM.pdf,data\extraction_json\text\1916.json,qa\trimming\reports\batch_010\text_trimmed\1916.json,70,69,trimmed_auto,confirmed_full,false,0.9349,1.0000,1.0000,1.0000,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1918,Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome,Tsai C.-H.,single_case_conference_abstract,heuristic,stage05_trimming,1918_Tsai C.-H. - 2018 - Spasmodic reflex myoclonus-an characteristic elect.pdf,data\pdf_original\1918_Tsai C.-H. - 2018 - Spasmodic reflex myoclonus-an characteristic elect.pdf,data\extraction_json\text\1918.json,qa\trimming\reports\batch_010\text_trimmed\1918.json,1,0,trimmed_auto,confirmed_full,false,0.6022,0.9362,0.0000,0.7021,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1921,Refractory anti-gad positive stiff-person syndrome controlled after rituximab therapy,Aragao V.; Braga E.; Marinho A.R.; Nobrega P.; Simabukuro M.; Ferreira G.; Maia F.,single_case_conference_abstract,manual_review,stage05_trimming,1921_Aragao V. et al. - 2018 - Refractory anti-gad positive stiff-person syndrome.pdf,data\pdf_original\1921_Aragao V. et al. - 2018 - Refractory anti-gad positive stiff-person syndrome.pdf,data\extraction_json\text\1921.json,qa\trimming\reports\batch_010\text_trimmed\1921.json,68,67,trimmed_auto,confirmed_full,false,0.8264,1.0000,0.8571,0.9643,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1922,Stiff person syndrome presenting with spastic dysarthria,Persaud A.; Shneyder N.; Pulley M.; Giles S.,single_case_conference_abstract,manual_review,stage05_trimming,1922_Persaud A. et al. - 2018 - Stiff person syndrome presenting with spastic dysa.pdf,data\pdf_original\1922_Persaud A. et al. - 2018 - Stiff person syndrome presenting with spastic dysa.pdf,data\extraction_json\text\1922.json,qa\trimming\reports\batch_010\text_trimmed\1922.json,46,45,trimmed_auto,confirmed_full,false,0.9909,1.0000,1.0000,1.0000,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1923,Intrathecal baclofen effects in stiff person syndrome: Clinical and instrumented gait analysis,Rocha M.S.; Terzian P.R.; Ferreira R.; Majdoub A.A.; Barbosa J.; Godinho F.,case_series_conference_abstract,manual_review,stage05_trimming,1923_Rocha M.S. et al. - 2018 - Intrathecal baclofen effects in stiff person syndr.pdf,data\pdf_original\1923_Rocha M.S. et al. - 2018 - Intrathecal baclofen effects in stiff person syndr.pdf,data\extraction_json\text\1923.json,qa\trimming\reports\batch_010\text_trimmed\1923.json,46,45,trimmed_auto,confirmed_full,false,0.9111,1.0000,0.6667,0.9167,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
batch_010,1924,Status dystonicus in a young person as an unusual presentation of stiff person syndrome: A case report,Di Luca D.G.; Bette S.; Luca C.; Singer C.,single_case_conference_abstract,manual_review,stage05_trimming,1924_Di Luca-2018-Status dystonicus in a young pers.pdf,data\pdf_original\1924_Di Luca-2018-Status dystonicus in a young pers.pdf,data\extraction_json\text\1924.json,qa\trimming\reports\batch_010\text_trimmed\1924.json,59,58,trimmed_auto,confirmed_full,false,0.8024,1.0000,0.7500,0.9375,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T17:24:58.147876+00:00
